"","symbol","date","price"
"1","CPILFESL",2000-01-01,179.3
"2","CPILFESL",2000-02-01,179.4
"3","CPILFESL",2000-03-01,180
"4","CPILFESL",2000-04-01,180.3
"5","CPILFESL",2000-05-01,180.7
"6","CPILFESL",2000-06-01,181.1
"7","CPILFESL",2000-07-01,181.5
"8","CPILFESL",2000-08-01,181.9
"9","CPILFESL",2000-09-01,182.3
"10","CPILFESL",2000-10-01,182.6
"11","CPILFESL",2000-11-01,183.1
"12","CPILFESL",2000-12-01,183.3
"13","CPILFESL",2001-01-01,183.9
"14","CPILFESL",2001-02-01,184.4
"15","CPILFESL",2001-03-01,184.7
"16","CPILFESL",2001-04-01,185.1
"17","CPILFESL",2001-05-01,185.3
"18","CPILFESL",2001-06-01,186
"19","CPILFESL",2001-07-01,186.4
"20","CPILFESL",2001-08-01,186.7
"21","CPILFESL",2001-09-01,187.1
"22","CPILFESL",2001-10-01,187.4
"23","CPILFESL",2001-11-01,188.1
"24","CPILFESL",2001-12-01,188.4
"25","CPILFESL",2002-01-01,188.7
"26","CPILFESL",2002-02-01,189.1
"27","CPILFESL",2002-03-01,189.2
"28","CPILFESL",2002-04-01,189.7
"29","CPILFESL",2002-05-01,190
"30","CPILFESL",2002-06-01,190.2
"31","CPILFESL",2002-07-01,190.5
"32","CPILFESL",2002-08-01,191.1
"33","CPILFESL",2002-09-01,191.3
"34","CPILFESL",2002-10-01,191.5
"35","CPILFESL",2002-11-01,191.9
"36","CPILFESL",2002-12-01,192.1
"37","CPILFESL",2003-01-01,192.4
"38","CPILFESL",2003-02-01,192.5
"39","CPILFESL",2003-03-01,192.5
"40","CPILFESL",2003-04-01,192.5
"41","CPILFESL",2003-05-01,192.9
"42","CPILFESL",2003-06-01,193
"43","CPILFESL",2003-07-01,193.4
"44","CPILFESL",2003-08-01,193.6
"45","CPILFESL",2003-09-01,193.7
"46","CPILFESL",2003-10-01,194
"47","CPILFESL",2003-11-01,194
"48","CPILFESL",2003-12-01,194.2
"49","CPILFESL",2004-01-01,194.6
"50","CPILFESL",2004-02-01,194.9
"51","CPILFESL",2004-03-01,195.5
"52","CPILFESL",2004-04-01,195.9
"53","CPILFESL",2004-05-01,196.2
"54","CPILFESL",2004-06-01,196.6
"55","CPILFESL",2004-07-01,196.8
"56","CPILFESL",2004-08-01,196.9
"57","CPILFESL",2004-09-01,197.5
"58","CPILFESL",2004-10-01,197.9
"59","CPILFESL",2004-11-01,198.3
"60","CPILFESL",2004-12-01,198.6
"61","CPILFESL",2005-01-01,199
"62","CPILFESL",2005-02-01,199.4
"63","CPILFESL",2005-03-01,200.1
"64","CPILFESL",2005-04-01,200.2
"65","CPILFESL",2005-05-01,200.5
"66","CPILFESL",2005-06-01,200.6
"67","CPILFESL",2005-07-01,200.9
"68","CPILFESL",2005-08-01,201.1
"69","CPILFESL",2005-09-01,201.3
"70","CPILFESL",2005-10-01,202
"71","CPILFESL",2005-11-01,202.5
"72","CPILFESL",2005-12-01,202.8
"73","CPILFESL",2006-01-01,203.2
"74","CPILFESL",2006-02-01,203.6
"75","CPILFESL",2006-03-01,204.3
"76","CPILFESL",2006-04-01,204.8
"77","CPILFESL",2006-05-01,205.4
"78","CPILFESL",2006-06-01,205.9
"79","CPILFESL",2006-07-01,206.3
"80","CPILFESL",2006-08-01,206.8
"81","CPILFESL",2006-09-01,207.2
"82","CPILFESL",2006-10-01,207.6
"83","CPILFESL",2006-11-01,207.8
"84","CPILFESL",2006-12-01,208.1
"85","CPILFESL",2007-01-01,208.6
"86","CPILFESL",2007-02-01,209.135
"87","CPILFESL",2007-03-01,209.418
"88","CPILFESL",2007-04-01,209.747
"89","CPILFESL",2007-05-01,210.058
"90","CPILFESL",2007-06-01,210.392
"91","CPILFESL",2007-07-01,210.773
"92","CPILFESL",2007-08-01,211.119
"93","CPILFESL",2007-09-01,211.554
"94","CPILFESL",2007-10-01,212.077
"95","CPILFESL",2007-11-01,212.66
"96","CPILFESL",2007-12-01,213.168
"97","CPILFESL",2008-01-01,213.771
"98","CPILFESL",2008-02-01,213.939
"99","CPILFESL",2008-03-01,214.42
"100","CPILFESL",2008-04-01,214.56
"101","CPILFESL",2008-05-01,214.936
"102","CPILFESL",2008-06-01,215.424
"103","CPILFESL",2008-07-01,215.965
"104","CPILFESL",2008-08-01,216.393
"105","CPILFESL",2008-09-01,216.713
"106","CPILFESL",2008-10-01,216.788
"107","CPILFESL",2008-11-01,216.947
"108","CPILFESL",2008-12-01,216.925
"109","CPILFESL",2009-01-01,217.346
"110","CPILFESL",2009-02-01,217.792
"111","CPILFESL",2009-03-01,218.253
"112","CPILFESL",2009-04-01,218.706
"113","CPILFESL",2009-05-01,218.904
"114","CPILFESL",2009-06-01,219.112
"115","CPILFESL",2009-07-01,219.263
"116","CPILFESL",2009-08-01,219.496
"117","CPILFESL",2009-09-01,219.92
"118","CPILFESL",2009-10-01,220.501
"119","CPILFESL",2009-11-01,220.666
"120","CPILFESL",2009-12-01,220.881
"121","CPILFESL",2010-01-01,220.633
"122","CPILFESL",2010-02-01,220.731
"123","CPILFESL",2010-03-01,220.783
"124","CPILFESL",2010-04-01,220.822
"125","CPILFESL",2010-05-01,220.962
"126","CPILFESL",2010-06-01,221.194
"127","CPILFESL",2010-07-01,221.363
"128","CPILFESL",2010-08-01,221.509
"129","CPILFESL",2010-09-01,221.711
"130","CPILFESL",2010-10-01,221.83
"131","CPILFESL",2010-11-01,222.149
"132","CPILFESL",2010-12-01,222.343
"133","CPILFESL",2011-01-01,222.803
"134","CPILFESL",2011-02-01,223.213
"135","CPILFESL",2011-03-01,223.454
"136","CPILFESL",2011-04-01,223.727
